*
Temp0 deg C	Temp1 deg C	Time (sec)
297.830790	20.984768	2.000000
302.982964	20.984768	4.000000
302.394700	20.984768	6.000000
299.893338	20.984768	8.000000
296.800917	20.984768	10.000000
294.000385	20.984768	12.000000
291.787608	20.984768	14.000000
289.720823	20.984768	16.000000
287.652546	20.984768	18.000000
285.878521	20.984768	20.000000
284.251345	20.984768	22.000000
282.623146	20.984768	24.000000
280.845812	20.984768	26.000000
279.215547	20.984768	28.000000
277.732574	20.984768	30.000000
276.248735	20.984768	32.000000
274.764020	20.984768	34.000000
273.426996	20.984768	36.000000
271.940586	20.984768	38.000000
270.602066	20.984768	40.000000
269.113928	20.984768	42.000000
267.922753	20.984768	44.000000
266.432947	20.984768	46.000000
265.240429	20.984768	48.000000
263.898101	20.984768	50.000000
262.555053	20.984768	52.000000
261.211185	20.984768	54.000000
260.016006	20.984768	56.000000
258.670719	20.984768	58.000000
257.474231	20.984768	60.000000
256.426773	20.984768	62.000000
255.079399	20.984768	64.000000
253.881052	20.984768	66.000000
252.682084	20.984768	68.000000
251.482496	20.984768	70.000000
250.282286	20.984768	72.000000
249.231608	20.984768	74.000000
248.030237	20.984768	76.000000
246.978515	20.984768	78.000000
245.775986	20.984768	80.000000
244.723283	20.984768	82.000000
243.820581	20.984768	84.000000
242.766981	20.984768	86.000000
241.562313	20.984768	88.000000
240.658416	20.984768	90.000000
239.452695	20.984768	92.000000
238.397213	20.984768	94.000000
237.341249	21.136453	96.000000
236.284863	20.984768	98.000000
235.228003	20.984768	100.000000
234.170727	21.136453	102.000000
233.112986	21.136453	104.000000
232.054837	21.136453	106.000000
231.147499	20.984768	108.000000
230.239848	20.984768	110.000000
229.331888	21.136453	112.000000
228.423622	20.984768	114.000000
227.515054	20.984768	116.000000
226.606187	21.136453	118.000000
225.697025	21.136453	120.000000
224.787573	21.288138	122.000000
223.726170	20.984768	124.000000
222.816101	21.136453	126.000000
221.754015	21.136453	128.000000
220.843350	21.136453	130.000000
219.932417	21.136453	132.000000
219.021222	21.136453	134.000000
218.261684	21.136453	136.000000
217.350020	21.288138	138.000000
216.438107	21.288138	140.000000
215.373912	21.136453	142.000000
214.613558	21.288138	144.000000
213.700932	21.288138	146.000000
212.788080	21.288138	148.000000
212.027210	21.288138	150.000000
211.113958	21.288138	152.000000
210.200497	21.288138	154.000000
209.286832	21.288138	156.000000
208.372971	21.288138	158.000000
207.611266	21.288138	160.000000
206.697061	21.288138	162.000000
205.935094	21.288138	164.000000
205.172993	21.288138	166.000000
204.258328	21.288138	168.000000
203.648462	21.288138	170.000000
202.886039	21.288138	172.000000
201.970987	21.288138	174.000000
201.360874	21.288138	176.000000
200.598141	21.288138	178.000000
199.835329	21.288138	180.000000
199.225012	21.288138	182.000000
198.614642	21.288138	184.000000
197.698993	21.288138	186.000000
197.088500	21.288138	188.000000
196.477963	21.288138	190.000000
195.562077	21.288138	192.000000
194.951438	21.288138	194.000000
194.340761	21.136453	196.000000
193.577365	21.288138	198.000000
192.813926	21.288138	200.000000
192.203140	21.288138	202.000000
191.439620	21.288138	204.000000
190.676068	21.288138	206.000000
190.065203	21.288138	208.000000
189.454321	21.288138	210.000000
188.690697	21.288138	212.000000
187.927057	21.288138	214.000000
187.316135	21.288138	216.000000
186.705207	21.288138	218.000000
185.941544	21.288138	220.000000
185.483346	21.288138	222.000000
184.719686	21.288138	224.000000
183.956033	21.288138	226.000000
183.345121	21.288138	228.000000
182.581499	21.288138	230.000000
182.123334	21.288138	232.000000
181.359752	21.288138	234.000000
180.748906	21.288138	236.000000
180.138084	21.288138	238.000000
179.374589	21.288138	240.000000
178.763827	21.288138	242.000000
178.153096	21.288138	244.000000
177.542399	21.288138	246.000000
177.084404	21.288138	248.000000
176.473774	21.288138	250.000000
175.710540	21.288138	252.000000
175.405268	21.288138	254.000000
174.794757	21.288138	256.000000
174.031687	21.288138	258.000000
173.573886	21.288138	260.000000
172.963531	21.288138	262.000000
172.353232	21.288138	264.000000
171.742993	21.288138	266.000000
171.132816	21.288138	268.000000
170.522705	21.288138	270.000000
169.912661	21.288138	272.000000
169.455181	21.288138	274.000000
168.997728	21.288138	276.000000
168.387865	21.136453	278.000000
167.778079	21.136453	280.000000
167.473216	21.136453	282.000000
167.015957	21.136453	284.000000
166.558749	21.136453	286.000000
166.253969	21.288138	288.000000
165.949211	21.288138	290.000000
165.644474	21.288138	292.000000
165.492112	21.136453	294.000000
165.339760	21.288138	296.000000
165.339760	21.288138	298.000000
165.492112	21.288138	300.000000
165.492112	21.136453	302.000000
165.492112	21.136453	304.000000
165.796837	20.984768	306.000000
165.796837	21.288138	308.000000
165.796837	21.288138	310.000000
165.796837	21.288138	312.000000
165.796837	21.136453	314.000000
165.796837	20.984768	316.000000
165.796837	21.136453	318.000000
165.644474	21.136453	320.000000
165.492112	20.984768	322.000000
165.492112	20.984768	324.000000
165.492112	20.984768	326.000000
165.187409	20.984768	328.000000
165.187409	20.984768	330.000000
165.035068	20.984768	332.000000
164.882728	20.984768	334.000000
164.882728	20.984768	336.000000
164.578071	20.984768	338.000000
164.425754	20.984768	340.000000
164.273437	20.984768	342.000000
163.968827	20.984768	344.000000
163.816534	20.984768	346.000000
163.664241	20.984768	348.000000
163.511960	20.984768	350.000000
163.359679	20.984768	352.000000
163.207411	20.984768	354.000000
163.055142	20.984768	356.000000
162.750630	20.984768	358.000000
162.598387	20.984768	360.000000
162.446144	20.984768	362.000000
162.141683	20.984768	364.000000
161.837248	20.984768	366.000000
161.837248	20.984768	368.000000
161.532839	20.984768	370.000000
161.380648	20.984768	372.000000
161.228457	20.984768	374.000000
160.924102	20.984768	376.000000
160.619774	20.984768	378.000000
160.619774	20.984768	380.000000
160.315474	20.984768	382.000000
160.163338	20.984768	384.000000
160.011202	20.984768	386.000000
159.706958	20.984768	388.000000
159.554850	20.984768	390.000000
159.250649	20.984768	392.000000
158.946477	20.984768	394.000000
158.794398	20.984768	396.000000
158.490270	20.984768	398.000000
158.186172	20.984768	400.000000
158.186172	20.833044	402.000000
157.882103	20.984768	404.000000
157.578065	20.984768	406.000000
157.426062	20.984768	408.000000
157.122070	20.984768	410.000000
156.970082	20.984768	412.000000
156.666137	20.984768	414.000000
156.514181	20.984768	416.000000
156.210283	20.984768	418.000000
156.058343	20.984768	420.000000
155.754494	20.984768	422.000000
155.754494	20.833044	424.000000
155.450677	20.833044	426.000000
155.146893	20.984768	428.000000
154.995018	20.833044	430.000000
154.691284	20.833044	432.000000
154.539425	20.681320	434.000000
154.235741	20.681320	436.000000
154.083917	20.833044	438.000000
153.932092	20.681320	440.000000
153.628476	20.681320	442.000000
153.324895	20.681320	444.000000
153.173122	20.681320	446.000000
153.021349	20.681320	448.000000
152.869594	20.833044	450.000000
152.566101	20.681320	452.000000
152.414363	20.681320	454.000000
152.110923	20.681320	456.000000
151.959221	20.681320	458.000000
151.655836	20.681320	460.000000
151.504152	20.681320	462.000000
151.200821	20.833044	464.000000
151.049174	20.681320	466.000000
150.745898	20.681320	468.000000
150.442660	20.681320	470.000000
150.291050	20.681320	472.000000
149.987868	20.681320	474.000000
149.836296	20.681320	476.000000
149.533170	20.681320	478.000000
149.381617	20.681320	480.000000
149.078550	20.681320	482.000000
148.775521	20.681320	484.000000
148.624026	20.681320	486.000000
148.472531	20.681320	488.000000
148.169580	20.681320	490.000000
148.018124	20.681320	492.000000
147.866669	20.681320	494.000000
147.715233	20.681320	496.000000
147.412381	20.681320	498.000000
147.260966	20.681320	500.000000
146.958174	20.681320	502.000000
146.806799	20.681320	504.000000
146.504068	20.681320	506.000000
146.352713	20.681320	508.000000
146.050044	20.681320	510.000000
145.898730	20.681320	512.000000
145.596123	20.681320	514.000000
145.293558	20.681320	516.000000
145.142285	20.681320	518.000000
144.839782	20.681320	520.000000
144.537322	20.681320	522.000000
144.386113	20.681320	524.000000
144.234904	20.681320	526.000000
143.932528	20.681320	528.000000
143.932528	20.681320	530.000000
143.630195	20.681320	532.000000
143.327906	20.681320	534.000000
143.025660	20.681320	536.000000
142.874558	20.681320	538.000000
142.723457	20.681320	540.000000
142.421298	20.681320	542.000000
142.270241	20.681320	544.000000
142.119183	20.681320	546.000000
141.817113	20.681320	548.000000
141.515086	20.681320	550.000000
141.364096	20.681320	552.000000
141.062136	20.681320	554.000000
140.911168	20.681320	556.000000
140.760222	20.681320	558.000000
140.458353	20.681320	560.000000
140.307430	20.681320	562.000000
140.005629	20.681320	564.000000
139.854751	20.681320	566.000000
139.703873	20.681320	568.000000
139.402164	20.681320	570.000000
139.251332	20.681320	572.000000
138.949692	20.681320	574.000000
138.798883	20.681320	576.000000
138.648098	20.681320	578.000000
138.346550	20.681320	580.000000
138.195788	20.681320	582.000000
137.894310	20.681320	584.000000
137.894310	20.681320	586.000000
137.592880	20.681320	588.000000
137.442188	20.681320	590.000000
137.291496	20.681320	592.000000
136.990160	20.681320	594.000000
136.990160	20.681320	596.000000
136.688872	20.681320	598.000000
136.688872	20.681320	600.000000
136.387631	20.681320	602.000000
136.387631	20.681320	604.000000
136.086438	20.833044	606.000000
135.935865	20.681320	608.000000
135.785293	20.681320	610.000000
135.785293	20.681320	612.000000
135.484196	20.681320	614.000000
135.484196	20.681320	616.000000
