System ID,,"4483J11304"
"49.50","3.29","31.79"
"50.00","3.33","32.24"
"50.50","3.36","32.71"
"51.00","3.39","33.17"
"51.50","3.43","33.65"
"52.00","3.46","34.11"
"52.50","3.49","34.58"
"53.00","3.53","35.06"
"53.50","3.56","35.53"
"54.00","3.59","36.00"
"54.50","3.63","36.47"
"55.00","3.66","36.95"
"55.50","3.69","37.43"
"56.00","3.73","37.92"
"56.50","3.76","38.40"
"57.00","3.79","38.88"
"57.50","3.83","39.37"
"58.00","3.86","39.84"
"58.50","3.89","40.33"
"59.00","3.93","40.82"
"59.50","3.96","41.30"
"60.00","3.99","41.79"
"60.50","4.03","42.27"
"61.00","4.06","42.76"
"61.50","4.09","43.25"
"62.00","4.13","43.74"
"62.50","4.16","44.23"
"63.00","4.19","44.72"
"63.50","4.23","45.21"
"64.00","4.26","45.70"
"64.50","4.29","46.19"
"65.00","4.33","46.69"
"65.50","4.36","47.17"
"66.00","4.39","47.66"
"66.50","4.43","48.15"
"67.00","4.46","48.64"
"67.50","4.49","49.14"
"68.00","4.53","49.62"
"68.50","4.56","50.11"
"69.00","4.59","50.60"
"69.50","4.63","51.09"
"70.00","4.66","51.58"
"70.50","4.69","52.06"
"71.00","4.73","52.55"
"71.50","4.76","53.03"
"72.00","4.79","53.52"
"72.50","4.83","54.00"
"73.00","4.86","54.48"
"73.50","4.89","54.97"
"74.00","4.93","55.45"
"74.50","4.96","55.94"
"75.00","4.99","56.41"
"75.50","5.03","56.89"
"76.00","5.06","57.37"
"76.50","5.09","57.85"
"77.00","5.13","58.33"
"77.50","5.16","58.80"
"78.00","5.19","59.27"
"78.50","5.23","59.75"
"79.00","5.26","60.22"
"79.50","5.29","60.69"
"80.00","5.33","61.16"
"80.50","5.36","61.61"
"81.00","5.39","62.08"
"81.50","5.43","62.54"
"82.00","5.46","62.99"
"82.50","5.49","63.43"
"83.00","5.53","63.88"
"83.50","5.56","64.31"
"84.00","5.59","64.75"
"84.50","5.63","65.18"
"85.00","5.66","65.59"
"85.50","5.69","66.02"
"86.00","5.73","66.41"
"86.50","5.76","66.80"
"87.00","5.79","67.19"
"87.50","5.83","67.58"
"88.00","5.86","67.96"
"88.50","5.89","68.32"
"89.00","5.93","68.68"
"89.50","5.96","69.02"
"90.00","5.99","69.37"
"90.50","6.03","69.70"
"91.00","6.06","70.01"
"91.50","6.09","70.32"
"92.00","6.13","70.63"
"92.50","6.16","70.92"
"93.00","6.19","71.20"
"93.50","6.23","71.46"
"94.00","6.26","71.71"
"94.50","6.29","71.92"
"95.00","6.33","72.14"
"95.50","6.36","72.37"
"96.00","6.39","72.60"
"96.50","6.43","72.82"
"97.00","6.46","73.04"
"97.50","6.49","73.25"
"98.00","6.53","73.44"
"98.50","6.56","73.63"
"99.00","6.59","73.81"
"99.50","6.63","73.97"
"100.00","6.66","74.13"
"100.50","6.69","74.28"
"101.00","6.73","74.44"
"101.50","6.76","74.59"
"102.00","6.79","74.70"
"102.50","6.83","74.79"
"103.00","6.86","74.90"
"103.50","6.89","75.00"
"104.00","6.93","75.09"
"104.50","6.96","75.14"
"105.00","6.99","75.18"
"105.50","7.03","75.17"
"106.00","7.06","75.06"
"106.50","7.09","74.78"
"107.00","7.13","74.04"
"107.50","7.16","67.49"
"108.00","7.19","65.62"
"108.50","7.23","64.01"
"109.00","7.26","62.92"
"109.50","7.29","62.15"
"110.00","7.33","57.58"
"110.50","7.36","55.68"
"111.00","7.39","54.98"
"111.50","7.43","53.58"
"112.00","7.46","52.30"
"112.50","7.49","51.35"
"113.00","7.53","50.26"
"113.50","7.56","49.54"
"114.00","7.59","48.51"
"114.50","7.63","47.48"
"115.00","7.66","44.47"
"115.50","7.70","-0.05944"
"116.00","7.73","-0.05886"
"116.50","7.76","-0.05765"
"117.00","7.79","-0.05630"
"117.50","7.83","-0.05525"
"118.00","7.86","-0.05404"
"118.50","7.89","-0.05304"
"119.00","7.93","-0.05231"
"119.50","7.96","-0.05130"
"120.00","7.99","-0.05043"
"120.50","8.03","-0.04978"
"121.00","8.06","-0.04903"
"121.50","8.09","-0.04877"
"122.00","8.13","-0.04825"
"122.50","8.16","-0.04753"
"123.00","8.19","-0.04724"
"123.50","8.23","-0.04671"
"124.00","8.26","-0.04706"
"124.19","8.27","-0.04654"

