System ID,,"4483J11304"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-A-1018-Cham"
Last test date,,"Monday, November 4, 2024"
Last test time,,"4:44:24 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"A"
Material,,"1018 Steel"
Weld Type,,"Chamfer"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.70"
Specimen Thickness t,(mm),"9.42"
Weld Thickness tw,(mm),"13.87"
Specimen Gage Length,(mm),"61.75"
Fracture Type and Location,,"Necking at fracture, failed under weld"
Unwelded Gap Thickness tg (mm),,"0.00"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"75.18"

Time,Displacement,Force
(s),(mm),(kN)
"0.00","0.00","-0.01136"
"0.50","0.03","0.1904"
"1.00","0.06","0.2620"
"1.50","0.09","0.3300"
"2.00","0.13","0.4018"
"2.50","0.16","0.4717"
"3.00","0.19","0.5527"
"3.50","0.23","0.6447"
"4.00","0.26","0.7466"
"4.50","0.29","0.8620"
"5.00","0.33","0.9894"
"5.50","0.36","1.126"
"6.00","0.39","1.273"
"6.50","0.43","1.428"
"7.00","0.46","1.593"
"7.50","0.49","1.769"
"8.00","0.53","1.952"
"8.50","0.56","2.141"
"9.00","0.59","2.338"
"9.50","0.63","2.535"
"10.00","0.66","2.742"
"10.50","0.69","2.953"
"11.00","0.73","3.174"
"11.50","0.76","3.401"
"12.00","0.79","3.640"
"12.50","0.83","3.884"
"13.00","0.86","4.138"
"13.50","0.89","4.394"
"14.00","0.93","4.660"
"14.50","0.96","4.928"
"15.00","0.99","5.206"
"15.50","1.03","5.480"
"16.00","1.06","5.759"
"16.50","1.09","6.049"
"17.00","1.13","6.338"
"17.50","1.16","6.638"
"18.00","1.19","6.939"
"18.50","1.23","7.245"
"19.00","1.26","7.563"
"19.50","1.29","7.881"
"20.00","1.33","8.203"
"20.50","1.36","8.527"
"21.00","1.39","8.854"
"21.50","1.43","9.187"
"22.00","1.46","9.524"
"22.50","1.49","9.861"
"23.00","1.53","10.20"
"23.50","1.56","10.54"
"24.00","1.59","10.89"
"24.50","1.63","11.25"
"25.00","1.66","11.60"
"25.50","1.69","11.96"
"26.00","1.73","12.32"
"26.50","1.76","12.68"
"27.00","1.79","13.03"
"27.50","1.83","13.40"
"28.00","1.86","13.77"
"28.50","1.89","14.14"
"29.00","1.93","14.50"
"29.50","1.96","14.88"
"30.00","1.99","15.26"
"30.50","2.03","15.64"
"31.00","2.06","16.02"
"31.50","2.09","16.40"
"32.00","2.13","16.79"
"32.50","2.16","17.18"
"33.00","2.19","17.57"
"33.50","2.23","17.98"
"34.00","2.26","18.37"
"34.50","2.29","18.78"
"35.00","2.33","19.18"
"35.50","2.36","19.58"
"36.00","2.39","19.99"
"36.50","2.43","20.38"
"37.00","2.46","20.80"
"37.50","2.49","21.22"
"38.00","2.53","21.63"
"38.50","2.56","22.05"
"39.00","2.59","22.47"
"39.50","2.63","22.90"
"40.00","2.66","23.33"
"40.50","2.69","23.76"
"41.00","2.73","24.18"
"41.50","2.76","24.62"
"42.00","2.79","25.06"
"42.50","2.83","25.50"
"43.00","2.86","25.94"
"43.50","2.89","26.38"
"44.00","2.93","26.82"
"44.50","2.96","27.27"
"45.00","2.99","27.70"
"45.50","3.03","28.14"
"46.00","3.06","28.59"
"46.50","3.09","29.05"
"47.00","3.13","29.51"
"47.50","3.16","29.96"
"48.00","3.19","30.41"
"48.50","3.23","30.87"
"49.00","3.26","31.33"
