System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02B1018Butt"
Last test date,,"Monday, November 4, 2024"
Last test time,,"4:44:27 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"1018"
Weld Type,,"Butt"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"16.25"
Specimen Thickness t,(mm),"9.42"
Weld Thickness tw,(mm),"13.55"
Specimen Gage Length,(mm),"63.60"
Fracture Type and Location,,""
Unwelded Gap Thickness tg (mm),,"2.93"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"80.53"

Time,Displacement,Force
(s),(mm),(kN)
"100.00","6.66","77.61"
"100.50","6.70","77.77"
"101.00","6.73","77.93"
"101.50","6.76","78.08"
"102.00","6.80","78.23"
"102.50","6.83","78.38"
"103.00","6.86","78.52"
"103.50","6.90","78.65"
"104.00","6.93","78.78"
"104.50","6.96","78.92"
"105.00","7.00","79.04"
"105.50","7.03","79.16"
"106.00","7.06","79.28"
"106.50","7.10","79.39"
"107.00","7.13","79.50"
"107.50","7.16","79.60"
"108.00","7.20","79.69"
"108.50","7.23","79.79"
"109.00","7.26","79.88"
"109.50","7.30","79.96"
"110.00","7.33","80.04"
"110.50","7.36","80.12"
"111.00","7.40","80.19"
"111.50","7.43","80.27"
"112.00","7.46","80.32"
"112.50","7.50","80.39"
"113.00","7.53","80.44"
"113.50","7.56","80.48"
"114.00","7.60","80.50"
"114.50","7.63","80.52"
"115.00","7.66","80.53"
"115.50","7.70","80.52"
"116.00","7.73","80.49"
"116.50","7.76","80.43"
"117.00","7.80","80.36"
"117.50","7.83","80.24"
"118.00","7.86","80.04"
"118.50","7.90","79.82"
"119.00","7.93","79.58"
"119.50","7.96","79.24"
"120.00","8.00","78.82"
"120.50","8.03","78.08"
"121.00","8.06","-2.131"
"121.50","8.10","-0.05844"
"122.00","8.13","-0.05417"
"122.50","8.16","-0.05049"
"123.00","8.20","-0.04686"
"123.50","8.23","-0.04436"
"124.00","8.26","-0.04174"
"124.50","8.30","-0.03983"
"124.65","8.30","-0.03901"

